,alpha,beta,gamma,tau,scf_cc,nn_scf_cc
321,22.0,0.7,8.0,0.4,1.072796792,1.071109
322,40.0,0.5,14.0,0.8,2.507562695,2.5183756
323,22.0,0.5,14.0,0.8,2.504199394,2.5227294
324,40.0,0.6,14.0,0.8,2.497835272,2.4889112
325,22.0,0.6,14.0,0.8,2.491993218,2.4838803
326,40.0,0.6,8.0,0.4,1.041265886,1.0633049
327,22.0,0.6,8.0,0.4,1.038348609,1.0362957
328,40.0,0.5,8.0,0.4,0.99746841,1.0101385
329,22.0,0.5,8.0,0.4,0.995849656,1.0050218
330,4.0,0.7,8.0,0.6,1.400852714,1.4064327
331,4.0,0.4,14.0,0.8,2.362823658,2.3474112
332,4.0,0.7,14.0,1.0,2.899540101,2.8866007
333,4.0,0.6,14.0,1.0,2.953097054,2.9263897
334,40.0,0.7,14.0,0.8,2.469598207,2.4626386
335,22.0,0.7,14.0,0.8,2.460288476,2.4411037
336,40.0,0.7,32.0,1.0,4.522198406,4.553082
337,4.0,0.2,26.0,1.0,3.461602565,3.5138843
338,22.0,0.4,14.0,0.8,2.379660812,2.4004235
339,40.0,0.4,14.0,0.8,2.381311487,2.400336
340,4.0,0.6,8.0,0.6,1.371056682,1.3631767
341,4.0,0.3,20.0,1.0,3.29386551,3.2936437
342,22.0,0.2,26.0,1.0,3.4655306,3.5199988
343,40.0,0.2,26.0,1.0,3.465741765,3.5129273
344,22.0,0.6,20.0,1.0,3.706558676,3.6811707
345,40.0,0.6,20.0,1.0,3.713431903,3.7094278
346,22.0,0.7,26.0,1.0,4.122495808,4.112911
347,40.0,0.7,26.0,1.0,4.129910641,4.1233773
348,22.0,0.3,20.0,1.0,3.298863531,3.326484
349,40.0,0.3,20.0,1.0,3.299868379,3.3362086
350,4.0,0.2,14.0,0.4,0.981769101,0.97757053
351,40.0,0.2,14.0,0.4,0.984047656,1.0331062
352,22.0,0.2,14.0,0.4,0.983966565,0.98218274
353,40.0,0.7,8.0,0.6,1.459034662,1.4902754
354,40.0,0.6,8.0,0.6,1.419166659,1.4151819
355,22.0,0.6,8.0,0.6,1.414628579,1.4068744
356,22.0,0.7,8.0,0.6,1.45171348,1.4393551
357,4.0,0.5,14.0,1.0,2.859450233,2.8439043
358,40.0,0.7,20.0,1.0,3.564075811,3.5691495
359,22.0,0.7,20.0,1.0,3.553290906,3.5385978
360,40.0,0.4,8.0,0.4,0.875896694,0.91151816
361,22.0,0.4,8.0,0.4,0.875118622,0.89529735
362,4.0,0.4,8.0,0.4,0.860123175,0.87538445
363,4.0,0.5,8.0,0.6,1.279225904,1.2768605
364,4.0,0.7,8.0,0.8,1.648114736,1.6438423
365,40.0,0.5,8.0,0.6,0.860863564,0.9289874
366,22.0,0.5,8.0,0.6,1.310746975,1.3192086
